"Symbol","Common Name","Counties"
"ABAB","shrubby Indian mallow","04003|04009|04013|04019|04021|04023|04025|48061|48215|48409|48427|48479"
"ABBE","Berlandier's Indian mallow","48007|48013|48025|48061|48121|48127|48131|48175|48177|48215|48249|48255|48261|48273|48281|48297|48317|48309|48427|48479|48489"
"ABFR3","Texas Indian mallow","05065|05071|05101|05137|48007|48021|48025|48027|48029|48031|48043|48053|48057|48061|48091|48105|48109|48121|48127|48131|48137|48139|48145|48163|48169|48171|48177|48209|48215|48243|48253|48255|48261|48265|48267|48271|48273|48281|48297|48299|48315|48317|48309|48311|48327|48355|48367|48371|48377|48395|48409|48411|48413|48415|48425|48427|48431|48435|48441|48443|48453|48463|48465|48479|48491"
"ABER","hiddenpetal Indian mallow","15009"
"ABIN","pelotazo","04003|04009|04011|04012|04013|04015|04019|04021|04025|04027|08009|15003|15007|15009|35017|35029|35051"
"ABHY","whiteleaf Indian mallow","48061|48271"
"ABIN3","monkeybush","15003|69085|69110|70370|74050|74150|74450"
"ABINA","","69085|69110|74150|74450"
"ABME2","ko'oloa 'ula","15001|15003|15009"
"ABPA","Palmer's Indian mallow","04003|04013|04019|04027|06073"
"ABMO2","Sonoran Indian mallow","04003|04007|04009|04011|04013|04019|04021|04023|35023|35029|48139"
"ABMA3","yellow Indian mallow","04012|04013|04019|04021|04027|35013|35017|35023|35029|48043|48139|48243|48377|48389"
"ABPE","coastal Indian mallow","12011|12021|12081|12086|12087"
"ABRE","yellowflower Indian mallow","04019"
"ABSA2","greenflower Indian mallow","15003"
"ABTH2","Thurber's Indian mallow","04019"
"ABTR","anglestem Indian mallow","48061|48215"
"ABWR","Wright's Indian mallow","48025|48029|48043|48061|48103|48105|48109|48137|48175|48243|48247|48249|48255|48261|48271|48273|48297|48371|48377|48389|48409|48427|48443|48453|48465|48505"
"ACAN","prairie acacia","04009|04011|04013|04025|05007|05015|05019|05057|05065|05067|05087|05089|05115|05135|05143|12001|12017|12029|12065|12075|20019|20035|20125|20129|22015|22017|22021|22031|22059|22069|22085|22115|22127|29009|29097|29119|29145|29149|29153|29209|29213|35005|35013|35015|35017|35023|35029|35035|35037|35051|40009|40013|40019|40023|40027|40031|40039|40047|40049|40051|40065|40067|40073|40075|40081|40083|40085|40095|40097|40087|40099|40101|40109|40119|40123|40125|40129|40135|40149|48007|48021|48027|48029|48039|48041|48043|48049|48051|48053|48055|48059|48073|48083|48085|48091|48097|48099|48101|48105|48107|48109|48113|48121|48125|48141|48143|48145|48147|48161|48167|48171|48175|48181|48185|48193|48197|48209|48229|48231|48237|48243|48249|48255|48259|48265|48271|48273|48277|48289|48303|48321|48309|48327|48339|48349|48355|48367|48371|48377|48385|48387|48391|48395|48409|48411|48417|48423|48433|48435|48439|48441|48453|48463|48471|48473|48477|48493|48499"
"ACANC","Chisos prairie acacia","48043|48109|48141|48229|48243|48377"
"ACANH","prairie acacia","04009|05007|05015|05019|05057|05065|05067|05087|05089|05115|05135|05143|12001|12017|12029|12065|12075|20019|20035|20125|20129|22015|22017|22021|22031|22059|22069|22085|22115|22127|29009|29097|29119|29145|29149|29153|29209|29213|35005|35013|35015|35017|35023|35029|35035|35037|35051|40009|40013|40019|40023|40027|40031|40039|40047|40049|40051|40065|40067|40073|40075|40081|40083|40085|40095|40097|40087|40099|40101|40109|40119|40123|40125|40129|40135|40149|48007|48021|48027|48029|48039|48041|48049|48051|48053|48055|48059|48073|48083|48085|48091|48097|48099|48101|48105|48107|48113|48121|48125|48143|48145|48147|48161|48167|48171|48175|48181|48185|48193|48197|48209|48231|48237|48249|48255|48259|48265|48271|48273|48277|48289|48303|48321|48309|48327|48339|48349|48355|48367|48371|48385|48387|48391|48395|48409|48411|48417|48423|48433|48435|48439|48441|48453|48463|48471|48473|48477|48493|48499"
"ACANL","whitehair acacia","48127|48427|48479"
"ACANS2","prairie acacia","04001|04003|04005|04007|04009|04017|04019|04023|35023"
"ACANS","Shreve's prairie acacia","04003|04023"
"ACBE","guajillo","48025|48029|48043|48127|48131|48175|48215|48247|48249|48255|48271|48273|48283|48297|48323|48311|48325|48377|48409|48427|48443|48463|48465|48479|48505|48507"
"ACCH","cinnecord","12086|12087"
"ACCO2","whitethorn acacia","04003|04005|04007|04009|04011|04012|04013|04019|04021|04023|04025|04027|35013|35015|35017|35023|35025|35029|35051|35053|48043|48109|48141|48139|48227|48229|48243|48263|48265|48301|48317|48323|48377|48385|48389|48427|48443"
"ACCOC","whitethorn acacia","04003|04005|04007|04009|04011|04012|04013|04019|04021|04023|04025|04027|35013|35015|35017|35023|35025|35029|35051|35053|48043|48109|48141|48139|48227|48229|48243|48263|48265|48301|48317|48323|48377|48385|48389|48427|48443"
"ACCOP9","whitethorn acacia","04003|04005|04007|04009|04011|04012|04013|04019|04021|04023|04025|04027|35013|35015|35017|35023|35025|35029|35051|35053|48043|48109|48141|48139|48227|48229|48243|48263|48265|48301|48317|48323|48377|48385|48389|48427|48443"
"ACFA","sweet acacia","01097|04003|04013|04019|04023|06073|12005|12009|12011|12017|12021|12033|12037|12051|12071|12081|12083|12085|12086|12087|12101|12103|12105|12115|12127|13039|13051|13179|13191|15001|15003|15007|15009|22001|22003|22009|22019|22023|22033|22051|22071|22075|22077|22089|22097|22099|22101|22103|22113|28045|48007|48013|48015|48019|48021|48027|48029|48031|48039|48041|48043|48051|48057|48061|48071|48089|48123|48127|48131|48149|48157|48167|48175|48177|48185|48199|48201|48209|48215|48223|48239|48245|48247|48249|48255|48261|48271|48273|48283|48285|48297|48323|48309|48311|48325|48339|48355|48371|48377|48385|48391|48407|48409|48427|48439|48443|48453|48465|48469|48471|48473|48477|48479|48489|48505|48507|74200|74300"
"ACGRW","catclaw acacia","48013|48025|48029|48049|48059|48061|48083|48105|48127|48131|48175|48215|48247|48249|48253|48255|48261|48273|48283|48297|48323|48311|48325|48327|48333|48335|48399|48409|48411|48413|48417|48427|48429|48441|48443|48451|48463|48465|48479|48493|48503|48505|48507"
"ACGR","catclaw acacia","04003|04005|04007|04009|04011|04012|04013|04015|04019|04021|04023|04025|04027|06023|06025|06045|06053|06065|06071|06073|06107|32003|32017|32023|35003|35005|35015|35017|35023|35025|35041|35051|48013|48043|48103|48105|48109|48127|48135|48141|48229|48243|48249|48283|48301|48311|48371|48377|48389|48443|48475|48495|49053"
"ACKO","koa","15001|15003|15007|15009"
"ACKO2","koaoha",""
"ACMA","porknut","12081|12086|12087|35047"
"ACMU","spineless wattle",""
"ACMI","milfoil wattle","04003|04019|35023"
"ACNE4","viscid acacia","04003|04019|35013|35015|35023|35027|35035|35051|48043|48141|48229|48243|48301|48371|48377|48443|48465"
